"REF_DATE","GEO","DGUID","School board revenues by direct source of funds","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","627006","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","689850","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","731428","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","736836","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","822387","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","824673","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","839634","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","866354","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","821635","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","838730","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","839338","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Provincial government sources","Dollars","81","thousands","3","v1025851","2.2","1053546","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","693","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","598","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1354","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","2320","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","3767","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","4710","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","2561","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1388","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","4497","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","4876","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","2660","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","2374","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","2163","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1949","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1354","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1061","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1335","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1448","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1425","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1253","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1111","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","979","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","1069","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","968","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","958","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","840","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","850","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","850","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","900","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Federal government sources","Dollars","81","thousands","3","v1025852","2.3","900","","","","0"
"1990","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","106697","","","","0"
"1991","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","113239","","","","0"
"1992","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","119688","","","","0"
"1993","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","122278","","","","0"
"1994","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","120180","","","","0"
"1995","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","112829","","","","0"
"1996","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","108687","","","","0"
"1997","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","114972","","","","0"
"1998","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","123146","","","","0"
"1999","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","130862","","","","0"
"2000","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","131116","","","","0"
"2001","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","134566","","","","0"
"2002","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","139640","","","","0"
"2003","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","148065","","","","0"
"2004","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","153103","","","","0"
"2005","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","152379","","","","0"
"2006","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","156342","","","","0"
"2007","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","163304","","","","0"
"2008","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","171777","","","","0"
"2009","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","179334","","","","0"
"2010","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","188066","","","","0"
"2011","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","198200","","","","0"
"2012","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","193979","","","","0"
"2013","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","216472","","","","0"
"2014","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","215165","","","","0"
"2015","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","217682","","","","0"
"2016","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","223008","","","","0"
"2017","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","230147","","","","0"
"2018","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","239464","","","","0"
"2019","Prince Edward Island","2016A000211","Total revenues","Dollars","81","thousands","3","v1025861","3.6","251934","","","","0"
"1990","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","106486","","","","0"
"1991","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","112891","","","","0"
"1992","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","119144","","","","0"
"1993","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","121659","","","","0"
"1994","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","119365","","","","0"
"1995","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","111984","","","","0"
"1996","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","107878","","","","0"
"1997","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","114404","","","","0"
"1998","Prince Edward Island","2016A000211","Provincial government sources","Dollars","81","thousands","3","v1025857","3.2","122482","","","","0"
